tiempo,Cantidad de productos,Cantidad de cajas abiertas,Trabajadores activos,Nivel de fila,Tiempo del dia,Dia,,,,,,,,
10.29,3,1,5,5,1,3,,,,,,,,
6.00,1,1,5,5,1,3,,,,,,,,
11.18,2,1,5,5,1,3,,,,,,,,
13.30,2,1,5,5,1,3,,,,,,,,
11.29,2,1,5,5,1,3,,,,,,,,
2.00,1,1,5,5,1,3,,,,,,,,
14.43,3,1,5,6,1,3,,,,,,,,
12.58,2,1,5,5,1,3,,,,,,,,
1.50,1,1,5,5,1,3,,,,,,,,
9.92,2,1,5,5,1,3,,,,,,,,
8.52,2,1,5,5,1,3,,,,,,,,
14.52,2,1,5,5,1,3,,,,,,,,
13.22,2,1,6,5,1,3,,,,,,,,
15.11,2,1,4,5,1,3,,,,,,,,
18.50,3,1,5,5,1,3,,,,,,,,
3.41,1,1,5,5,2,3,,,,,,,,
10.46,2,1,5,5,2,3,,,,,,,,
16.55,2,1,5,5,2,3,,,,,,,,
9.25,3,1,5,5,2,3,,,,,,,,
11.82,2,1,5,5,2,3,,,,,,,,
13.00,2,1,6,5,2,3,,,,,,,,
7.41,1,1,5,4,2,3,,,,,,,,
10.26,2,1,5,6,2,3,,,,,,,,
10.12,2,1,5,5,2,3,,,,,,,,
12.40,1,1,5,5,2,3,,,,,,,,
11.21,2,1,5,5,2,3,,,,,,,,
16.58,2,1,4,5,2,3,,,,,,,,
9.36,2,1,5,5,2,3,,,,,,,,
9.56,2,1,5,5,2,3,,,,,,,,
11.48,3,1,5,5,2,3,,,,,,,,
11.07,2,1,5,5,2,3,,,,,,,,
6.43,1,1,6,5,2,3,,,,,,,,
16.05,2,1,5,5,2,3,,,,,,,,
13.46,2,1,5,5,2,3,,,,,,,,
9.52,2,1,5,5,2,3,,,,,,,,
10.15,1,1,5,5,2,3,,,,,,,,
10.20,2,1,5,6,2,3,,,,,,,,
8.57,2,1,5,5,2,3,,,,,,,,
16.24,2,1,5,5,2,3,,,,,,,,
14.15,3,1,5,5,2,3,,,,,,,,
5.21,1,1,5,5,2,3,,,,,,,,
14.16,2,1,5,5,2,3,,,,,,,,
15.23,1,1,5,5,2,3,,,,,,,,
11.25,2,1,5,5,2,3,,,,,,,,
10.10,1,1,5,5,2,3,,,,,,,,
15.24,2,1,5,5,2,3,,,,,,,,
10.45,2,1,6,5,2,3,,,,,,,,
11.13,2,1,5,5,2,3,,,,,,,,
11.43,3,1,5,5,2,3,,,,,,,,
13.25,3,1,5,5,2,3,,,,,,,,
12.14,3,1,5,5,2,3,,,,,,,,
3.51,1,1,5,5,2,3,,,,,,,,
11.27,3,1,5,5,2,3,,,,,,,,
6.53,2,1,4,5,2,3,,,,,,,,
15.08,2,1,5,5,2,3,,,,,,,,
8.39,3,1,5,5,2,3,,,,,,,,
6.21,1,1,5,5,2,3,,,,,,,,
13.36,2,1,5,5,2,3,,,,,,,,
10.45,3,1,5,5,2,3,,,,,,,,
2.26,1,1,5,5,2,3,,,,,,,,
9.32,3,1,5,5,2,3,,,,,,,,
14.00,2,1,5,5,2,3,,,,,,,,
13.08,2,1,5,5,2,3,,,,,,,,
9.50,2,1,5,5,2,3,,,,,,,,
14.37,1,1,5,5,2,3,,,,,,,,
12.29,2,1,5,5,2,3,,,,,,,,
15.52,3,1,5,5,2,3,,,,,,,,
15.47,3,1,5,5,2,3,,,,,,,,
19.45,4,1,5,5,2,3,,,,,,,,
17.21,2,1,5,5,2,3,,,,,,,,
12.09,2,1,5,5,2,3,,,,,,,,
12.48,2,1,5,5,2,3,,,,,,,,
10.40,1,1,5,5,2,3,,,,,,,,
15.17,2,1,5,5,2,3,,,,,,,,
15.12,2,1,5,5,2,3,,,,,,,,
8.35,2,1,5,5,2,3,,,,,,,,
13.13,3,1,5,6,2,3,,,,,,,,
10.45,2,1,5,5,2,3,,,,,,,,
14.04,2,1,5,5,2,3,,,,,,,,
12.43,2,1,5,5,2,3,,,,,,,,
4.30,1,1,5,5,2,3,,,,,,,,
