source,host_response_time,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes
city scrape,within an hour,96%,t,1,t,Private room in rental unit,Private room,1,,1,$550.00,2,4,2,2,4,4,2,4,,t,42,48,5,f,1,0
city scrape,within an hour,100%,f,49,t,Entire rental unit,Entire home/apt,6,3,3,"$1,353.00",2,28,2,2,1125,1125,2,1125,,t,56,20,4.5,f,49,46
city scrape,within an hour,99%,,3,t,Entire rental unit,Entire home/apt,6,2,4,"$1,700.00",2,365,1,2,365,365,1.4,365,,t,338,45,4.84,f,1,1
city scrape,within an hour,100%,t,1,t,Entire rental unit,Entire home/apt,4,1,2,$759.00,2,1125,2,2,1125,1125,2,1125,,t,171,18,4.94,t,1,1
city scrape,within a day,57%,f,1,t,Private room in rental unit,Private room,2,,1,$550.00,1,1125,1,1,1125,1125,1,1125,,t,269,0,,f,1,0
city scrape,within a day,49%,f,11,t,Private room in bed and breakfast,Private room,2,,2,$400.00,2,365,2,2,365,365,2,365,,t,265,2,5,f,11,0
city scrape,within an hour,100%,f,18,t,Entire rental unit,Entire home/apt,6,2,3,"$1,671.00",2,365,2,2,1125,1125,2,1125,,t,351,38,4.47,t,9,9
city scrape,within an hour,100%,t,35,t,Entire condo,Entire home/apt,4,1,2,"$1,587.00",1,365,1,3,365,365,1.3,365,,t,174,17,5,t,30,30
city scrape,within an hour,100%,f,2,t,Private room in casa particular,Private room,2,,2,$700.00,2,365,2,2,1125,1125,2,1125,,t,265,4,4.5,t,2,0
city scrape,within a few hours,83%,f,2,t,Private room in bed and breakfast,Private room,1,,1,$670.00,1,365,1,1,1125,1125,1,1125,,t,205,3,4.33,t,2,0
city scrape,within an hour,97%,f,4,t,Room in hotel,Private room,2,1,1,$428.00,1,365,1,1,365,365,1,365,,t,324,87,4.39,t,4,0
city scrape,within an hour,100%,f,7,t,Entire rental unit,Entire home/apt,2,1,1,"$2,184.00",1,1125,2,2,999,999,2,999,,t,350,6,4.67,t,7,7
city scrape,within an hour,100%,f,16,t,Entire guest suite,Entire home/apt,2,,1,$657.00,1,365,2,5,1125,1125,2.1,1125,,t,365,40,4.65,t,16,14
city scrape,within an hour,96%,f,1,t,Entire condo,Entire home/apt,2,1,1,$900.00,4,1125,4,4,1125,1125,4,1125,,t,345,7,4.86,t,1,1
city scrape,within an hour,100%,f,22,t,Entire rental unit,Entire home/apt,4,2,2,"$1,200.00",2,1125,2,2,1125,1125,2,1125,,t,78,15,4.67,t,22,22
city scrape,within an hour,99%,t,14,t,Entire rental unit,Entire home/apt,3,1,2,"$1,022.00",2,1125,2,2,1125,1125,2,1125,,t,355,25,4.88,f,14,14
city scrape,within an hour,100%,t,12,t,Private room in bed and breakfast,Private room,2,1,1,$694.00,2,365,2,2,365,365,2,365,,t,44,0,,f,11,1
city scrape,within an hour,100%,t,12,t,Private room in bed and breakfast,Private room,2,,1,$675.00,2,365,2,2,365,365,2,365,,t,45,15,4.73,t,11,1
city scrape,within an hour,100%,f,22,t,Entire rental unit,Entire home/apt,4,2,2,"$1,500.00",1,1125,1,1,1125,1125,1,1125,,t,88,17,4.41,t,22,22
city scrape,within an hour,100%,t,23,t,Entire loft,Entire home/apt,2,1,1,$830.00,1,1125,1,7,60,1125,1.6,1024.6,,t,321,28,4.82,t,23,23
city scrape,within an hour,100%,t,3,t,Private room in bed and breakfast,Private room,2,,1,"$1,150.00",3,1125,3,8,1125,1125,5.9,1125,,t,161,17,5,f,3,1
city scrape,within an hour,100%,t,23,t,Entire loft,Entire home/apt,2,1,1,$830.00,1,1125,1,7,60,1125,1.6,1024.6,,t,92,27,4.85,f,23,23
city scrape,within an hour,100%,t,12,t,Private room in rental unit,Private room,2,,1,$647.00,2,365,2,2,365,365,2,365,,t,45,2,5,t,11,1
city scrape,within an hour,100%,t,12,t,Private room in rental unit,Private room,2,1,1,$694.00,2,365,2,2,365,365,2,365,,t,45,4,5,f,11,1
city scrape,within an hour,100%,t,12,t,Private room in rental unit,Private room,1,,1,$616.00,2,365,2,2,365,365,2,365,,t,46,5,4.6,f,11,1
city scrape,within an hour,100%,f,22,t,Entire rental unit,Entire home/apt,2,1,1,$823.00,1,1125,1,1,1125,1125,1,1125,,t,73,14,4.64,t,22,22
city scrape,N/A,88%,f,2,t,Private room in rental unit,Private room,3,,1,"$1,200.00",1,365,1,1,365,365,1,365,,t,90,0,,t,2,0
city scrape,within an hour,100%,f,1,f,Entire home,Entire home/apt,5,2,2,$600.00,2,8,2,2,8,8,2,8,,t,72,13,5,f,1,1
city scrape,within an hour,82%,f,2,t,Entire rental unit,Entire home/apt,7,3,3,"$3,400.00",1,365,1,1,365,365,1,365,,t,360,5,5,t,1,1
city scrape,within an hour,100%,f,9,t,Room in hotel,Private room,2,1,1,"$1,291.00",1,30,1,1,1125,1125,1,1125,,t,326,1,1,t,6,2
city scrape,within an hour,100%,,11,t,Entire condo,Entire home/apt,2,1,1,$800.00,2,15,2,2,1125,1125,2,1125,,t,350,24,4.67,t,10,8
city scrape,within an hour,99%,f,1,t,Entire townhouse,Entire home/apt,8,4,5,"$2,093.00",1,1125,1,1,1125,1125,1,1125,,t,153,30,4.8,f,1,1
city scrape,within a few hours,95%,f,1,t,Entire rental unit,Entire home/apt,3,1,1,$949.00,1,7,1,1,7,7,1,7,,t,72,60,4.87,f,1,1
city scrape,within an hour,99%,t,14,t,Entire rental unit,Entire home/apt,6,2,4,"$1,486.00",2,365,2,2,1125,1125,2,1125,,t,76,22,4.95,t,11,11
city scrape,within an hour,97%,t,92,t,Entire condo,Entire home/apt,3,1,1,"$1,129.00",1,1125,2,3,2,365,2.1,340.9,,t,364,33,4.73,f,85,85
city scrape,within an hour,100%,f,2,t,Entire vacation home,Entire home/apt,5,2,4,$200.00,1,1125,1,1,1125,1125,1,1125,,t,235,1,5,t,2,2
city scrape,within an hour,100%,f,2,t,Entire serviced apartment,Entire home/apt,3,1,2,$500.00,1,1125,1,1,1125,1125,1,1125,,t,362,3,5,f,2,2
city scrape,within an hour,97%,t,92,t,Entire condo,Entire home/apt,3,1,1,"$1,125.00",1,365,2,7,23,365,5.3,364.2,,t,1,39,4.79,f,85,85
city scrape,within an hour,97%,t,92,t,Entire serviced apartment,Entire home/apt,3,1,1,"$1,350.00",2,1125,2,3,2,365,2.1,350,,t,347,11,4.82,f,85,85
city scrape,within an hour,99%,t,7,t,Private room in rental unit,Private room,2,,1,"$5,981.00",2,90,2,2,1125,1125,2,1125,,t,30,2,5,t,6,3
city scrape,within an hour,100%,f,16,t,Private room in guest suite,Private room,2,,1,$611.00,2,365,1,5,1125,1125,2.1,1125,,t,362,42,4.69,t,16,14
city scrape,within an hour,100%,t,3,t,Entire rental unit,Entire home/apt,4,1,2,"$2,000.00",2,4,2,2,1125,1125,2,1125,,t,316,1,5,t,2,2
city scrape,within an hour,96%,f,4,t,Private room in rental unit,Private room,4,,2,"$1,100.00",1,365,1,1,365,365,1,365,,t,358,2,4.5,f,3,1
