source,host_response_time,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes
city scrape,N/A,N/A,f,1,t,Entire villa,Entire home/apt,2,1,1,"$3,437.00",1,7,1,1,7,7,1,7,,t,363,0,,f,1,1
city scrape,within a day,83%,t,6,t,Entire condo,Entire home/apt,2,1,2,"$3,506.00",3,21,3,4,21,21,3,21,,t,225,1,5,f,6,6
city scrape,within a day,83%,t,6,t,Entire condo,Entire home/apt,4,2,4,"$5,499.00",3,30,3,4,30,30,3,30,,t,226,4,5,f,6,6
city scrape,within an hour,98%,t,1,t,Entire rental unit,Entire home/apt,4,2,2,$858.00,3,365,3,3,1125,1125,3,1125,,t,331,199,4.76,t,1,1
previous scrape,N/A,0%,f,1,t,Shared room in rental unit,Shared room,2,,1,"$1,718.00",1,1125,1,1,1125,1125,1,1125,,f,0,0,,f,1,0
city scrape,within an hour,82%,f,17,t,Entire home,Entire home/apt,14,5,8,"$18,000.00",1,365,1,1,365,365,1,365,,t,358,64,4.58,f,13,4
city scrape,within an hour,100%,t,2,t,Entire condo,Entire home/apt,3,1,1,"$3,307.00",2,1125,2,2,1125,1125,2,1125,,t,272,306,4.86,t,2,2
city scrape,within an hour,0%,f,3,t,Entire home,Entire home/apt,4,2,2,"$5,637.00",4,21,4,4,21,21,4,21,,t,362,22,5,f,2,2
city scrape,within an hour,100%,f,2,t,Private room in home,Private room,2,,1,"$1,031.00",2,1125,2,2,1125,1125,2,1125,,t,180,63,4.92,f,2,0
city scrape,within a day,73%,f,3,t,Entire rental unit,Entire home/apt,4,2,2,"$1,890.00",4,30,4,4,30,30,4,30,,t,307,47,4.89,f,2,2
previous scrape,N/A,N/A,f,1,t,Private room in condo,Private room,2,,1,"$1,500.00",2,365,2,2,365,365,2,365,,f,0,0,,f,1,0
city scrape,within an hour,92%,f,3,t,Entire rental unit,Entire home/apt,2,1,1,$737.00,5,180,5,5,180,180,5,180,,t,158,120,4.91,f,3,2
city scrape,within a few hours,95%,,8,t,Entire rental unit,Entire home/apt,8,3,3,"$8,592.00",5,1125,5,5,1125,1125,5,1125,,t,321,100,4.91,f,1,1
city scrape,within an hour,0%,f,1,t,Entire home,Entire home/apt,8,3,3,"$3,179.00",10,120,10,10,120,120,10,120,,t,71,0,,f,1,1
city scrape,within an hour,99%,t,6,t,Entire loft,Entire home/apt,2,1,1,"$3,231.00",1,365,1,1,1125,1125,1,1125,,t,287,12,4.91,f,3,3
city scrape,N/A,0%,f,1,t,Private room in condo,Private room,1,,1,$482.00,5,180,5,5,180,180,5,180,,t,253,1,5,f,1,0
city scrape,within a few hours,100%,f,2,t,Entire home,Entire home/apt,10,4,6,"$1,099.00",2,1125,2,2,1125,1125,2,1125,,t,343,99,4.55,t,2,2
previous scrape,N/A,N/A,f,3,t,Private room,Private room,2,,1,"$1,169.00",1,730,1,1,730,730,1,730,,f,0,0,,f,3,1
city scrape,within an hour,90%,t,4,t,Entire condo,Entire home/apt,6,2,3,"$1,400.00",14,180,14,14,180,180,14,180,,t,177,265,4.75,f,3,3
city scrape,within an hour,90%,t,4,t,Entire rental unit,Entire home/apt,4,2,2,"$1,130.00",20,1125,20,20,1125,1125,20,1125,,t,307,148,4.58,f,3,3
city scrape,within an hour,98%,t,7,t,Entire home,Entire home/apt,16,5,10,"$3,272.00",2,365,2,2,365,365,2,365,,t,201,320,4.89,f,7,5
city scrape,within an hour,90%,t,4,t,Entire rental unit,Entire home/apt,6,3,3,"$1,469.00",24,1125,24,24,1125,1125,24,1125,,t,266,39,4.57,f,3,3
city scrape,within an hour,88%,t,2,t,Private room in rental unit,Private room,2,,1,$315.00,4,90,4,4,90,90,4,90,,t,350,97,4.83,f,2,0
city scrape,within an hour,100%,t,14,t,Entire condo,Entire home/apt,2,1,1,$790.00,2,60,2,2,1125,1125,2,1125,,t,130,18,4.72,f,14,13
city scrape,within a few hours,62%,f,6,t,Entire home,Entire home/apt,16,10,16,"$2,406.00",1,90,1,1,90,90,1,90,,t,280,127,4.75,f,6,3
city scrape,within an hour,100%,t,2,t,Entire loft,Entire home/apt,2,1,1,"$1,186.00",3,365,3,3,1125,1125,3,1125,,t,260,45,4.78,f,1,1
previous scrape,within an hour,87%,t,19,t,Room in serviced apartment,Hotel room,2,1,1,"$1,031.00",2,730,2,2,1125,1125,2,1125,,f,0,24,4.83,f,11,7
previous scrape,within an hour,98%,t,6,t,Entire rental unit,Entire home/apt,4,1,1,"$2,640.00",4,365,4,4,365,365,4,365,,t,0,104,4.57,f,6,6
previous scrape,within an hour,87%,t,19,t,Entire serviced apartment,Entire home/apt,2,1,1,"$1,117.00",2,730,2,2,730,730,2,730,,f,0,7,4.29,f,11,7
previous scrape,within an hour,98%,t,6,t,Entire loft,Entire home/apt,3,1,2,"$5,000.00",14,365,14,14,365,365,14,365,,t,0,24,4.67,f,6,6
city scrape,within an hour,98%,t,6,t,Entire rental unit,Entire home/apt,2,1,1,"$6,800.00",1,180,1,1,1125,1125,1,1125,,t,10,71,4.7,f,6,6
city scrape,N/A,0%,f,1,t,Private room in rental unit,Private room,2,,1,$689.00,1,14,1,1,14,14,1,14,,t,364,5,4.75,f,1,0
city scrape,within an hour,94%,f,2,t,Entire rental unit,Entire home/apt,3,2,2,$800.00,2,365,2,2,365,365,2,365,,t,338,183,4.59,f,2,2
city scrape,within a few hours,67%,f,3,t,Private room in home,Private room,1,,1,$859.00,4,90,4,4,90,90,4,90,,t,348,4,5,f,3,0
city scrape,within a few hours,100%,f,1,t,Entire rental unit,Entire home/apt,2,1,1,$800.00,3,180,1,3,180,180,3,180,,t,346,27,4.58,f,1,1
city scrape,within a few hours,100%,f,2,t,Private room in home,Private room,4,,4,$370.00,2,365,2,2,365,365,2,365,,t,332,30,4.97,f,2,0
city scrape,within an hour,100%,t,1,t,Entire rental unit,Entire home/apt,2,1,2,$687.00,7,1125,7,7,1125,1125,7,1125,,t,181,52,4.85,f,1,1
city scrape,N/A,67%,f,1,t,Private room in rental unit,Private room,2,,1,$516.00,5,120,5,5,120,120,5,120,,t,265,148,4.73,f,1,0
city scrape,within an hour,97%,,10,t,Entire rental unit,Entire home/apt,3,1,2,$940.00,1,90,1,1,1125,1125,1,1125,,t,354,350,4.84,f,2,2
city scrape,within an hour,98%,f,2,t,Entire condo,Entire home/apt,4,2,2,$859.00,2,90,2,2,90,90,2,90,,t,311,75,4.86,f,1,1
city scrape,within an hour,97%,,10,t,Entire condo,Entire home/apt,2,1,1,$825.00,1,90,1,1,1125,1125,1,1125,,t,355,260,4.88,f,2,2
city scrape,within an hour,100%,f,1,t,Entire loft,Entire home/apt,6,1,1,"$1,201.00",4,360,4,4,360,360,4,360,,t,360,54,4.43,f,1,1
city scrape,within a day,83%,t,6,t,Entire rental unit,Entire home/apt,1,1,1,$516.00,3,30,3,4,30,30,3,30,,t,225,110,4.89,f,6,6
city scrape,within a few hours,N/A,f,6,t,Entire rental unit,Entire home/apt,2,1,1,$900.00,30,360,30,30,360,360,30,360,,t,234,46,4.56,f,6,6
city scrape,within an hour,100%,t,5,t,Private room in rental unit,Private room,2,,2,$520.00,5,365,5,5,1125,1125,5,1125,,t,334,20,4.16,t,4,2
city scrape,within a few hours,N/A,f,6,t,Entire rental unit,Entire home/apt,2,1,1,$850.00,180,365,180,180,365,365,180,365,,t,174,18,4.83,f,6,6
city scrape,within a few hours,N/A,f,6,t,Entire rental unit,Entire home/apt,4,2,4,$971.00,4,370,4,4,370,370,4,370,,t,175,17,4.69,f,6,6
city scrape,within an hour,98%,t,7,t,Entire home,Entire home/apt,14,4,10,"$2,858.00",2,365,2,2,365,365,2,365,,t,201,319,4.91,f,7,5
city scrape,within a day,100%,f,1,t,Entire rental unit,Entire home/apt,4,2,2,$773.00,2,1125,2,2,1125,1125,2,1125,,t,320,28,4.78,f,1,1
city scrape,within a few hours,50%,f,1,t,Entire rental unit,Entire home/apt,3,1,1,"$1,117.00",5,1125,5,5,1125,1125,5,1125,,t,110,356,4.77,f,1,1
city scrape,within a few hours,62%,f,6,t,Private room in home,Private room,2,1,1,$378.00,1,1125,1,1,1125,1125,1,1125,,t,291,133,4.74,f,6,3
city scrape,within an hour,33%,f,1,t,Private room in rental unit,Private room,2,,,$480.00,2,1125,2,2,1125,1125,2,1125,,t,269,9,4.78,f,1,0
previous scrape,N/A,N/A,f,1,t,Entire rental unit,Entire home/apt,2,,1,"$1,718.00",7,365,7,7,365,365,7,365,,f,0,0,,f,1,1
city scrape,within an hour,0%,f,3,t,Entire rental unit,Entire home/apt,6,3,4,"$2,750.00",2,1125,2,2,1125,1125,2,1125,,t,329,136,4.83,f,2,2
city scrape,within an hour,82%,f,17,t,Room in serviced apartment,Hotel room,3,1,2,"$2,860.00",1,365,1,3,365,365,1.7,365,,t,352,7,4.71,t,13,4
previous scrape,within an hour,87%,t,19,t,Room in serviced apartment,Hotel room,2,1,1,"$1,117.00",2,730,2,2,1125,1125,2,1125,,f,0,31,4.97,f,11,7
city scrape,within an hour,100%,f,12,t,Entire guest suite,Entire home/apt,2,1,1,$567.00,1,1125,1,1,1125,1125,1,1125,,t,334,399,4.6,f,12,12
previous scrape,within an hour,87%,t,19,t,Room in serviced apartment,Hotel room,2,1,1,$945.00,2,730,2,2,1125,1125,2,1125,,f,0,54,4.93,f,11,7
previous scrape,N/A,0%,f,1,t,Private room in rental unit,Private room,1,,1,$516.00,2,14,2,2,14,14,2,14,,f,0,0,,f,1,0
previous scrape,within an hour,87%,t,19,t,Entire serviced apartment,Entire home/apt,2,1,1,$859.00,2,730,2,2,1125,1125,2,1125,,f,0,23,4.91,f,11,7
previous scrape,N/A,0%,f,1,t,Entire rental unit,Entire home/apt,4,2,2,"$1,289.00",3,180,3,3,180,180,3,180,,t,0,119,4.78,f,1,1
previous scrape,within an hour,87%,t,19,t,Room in serviced apartment,Hotel room,2,1,1,"$1,117.00",2,730,2,2,1125,1125,2,1125,,f,0,30,4.9,f,11,7
city scrape,within a few hours,62%,f,6,t,Entire home,Entire home/apt,16,10,16,"$2,406.00",1,90,1,1,90,90,1,90,,t,271,260,4.79,f,6,3
city scrape,within an hour,94%,f,2,t,Entire rental unit,Entire home/apt,3,2,2,$800.00,2,365,2,2,365,365,2,365,,t,291,194,4.66,f,2,2
city scrape,within a few hours,93%,t,3,t,Entire rental unit,Entire home/apt,2,1,2,"$1,784.00",3,48,3,3,48,48,3,48,,t,322,53,4.94,f,3,2
previous scrape,N/A,N/A,f,1,t,Private room in condo,Private room,1,,1,$430.00,4,10,4,4,10,10,4,10,,f,0,107,4.78,f,1,0
city scrape,within an hour,100%,f,2,t,Entire serviced apartment,Entire home/apt,4,2,3,$796.00,2,1125,2,2,1125,1125,2,1125,,t,253,156,4.74,t,2,2
city scrape,within an hour,96%,t,2,t,Private room in home,Private room,2,,1,$344.00,2,160,2,2,1125,1125,2,1125,,t,313,206,4.8,f,2,0
city scrape,within an hour,100%,t,7,t,Tiny home,Entire home/apt,3,1,1,"$1,313.00",3,1125,3,3,1125,1125,3,1125,,t,284,508,4.84,f,5,4
city scrape,within an hour,96%,f,2,t,Private room in condo,Private room,2,,1,$550.00,1,31,1,1,1125,1125,1,1125,,t,53,129,4.85,f,2,1
city scrape,within an hour,100%,f,1,t,Entire condo,Entire home/apt,4,2,2,"$1,289.00",2,1125,2,2,1125,1125,2,1125,,t,306,446,4.8,f,1,1
city scrape,within an hour,100%,f,5,t,Private room in home,Private room,2,,1,$258.00,3,1125,2,3,1125,1125,2.7,1125,,t,38,17,4.82,t,5,0
city scrape,within an hour,100%,t,3,t,Entire home,Entire home/apt,6,2,2,"$1,949.00",2,200,2,2,200,200,2,200,,t,181,73,4.85,f,3,2
previous scrape,N/A,N/A,f,1,t,Private room in rental unit,Private room,1,,1,$945.00,5,180,5,5,180,180,5,180,,f,0,0,,f,1,0
city scrape,within a few hours,86%,f,1,t,Entire home,Entire home/apt,6,3,4,"$6,015.00",7,90,7,7,90,90,7,90,,t,186,22,5,f,1,1
city scrape,within an hour,96%,t,2,t,Private room in home,Private room,1,,1,$309.00,2,200,2,2,1125,1125,2,1125,,t,253,55,4.96,f,2,0
city scrape,within a day,100%,f,1,t,Private room in condo,Private room,1,,1,$842.00,2,1125,2,2,1125,1125,2,1125,,t,365,28,4.82,f,1,0
city scrape,within an hour,100%,t,3,t,Entire rental unit,Entire home/apt,4,2,2,"$1,375.00",2,1125,2,2,1125,1125,2,1125,,t,323,38,4.86,f,1,1
city scrape,within a few hours,57%,f,10,t,Private room in bed and breakfast,Private room,14,6,10,"$13,500.00",1,30,1,1,30,30,1,30,,t,362,53,4.7,f,10,3
city scrape,N/A,93%,f,5,t,Private room in guest suite,Private room,2,,1,"$1,200.00",2,365,2,2,365,365,2,365,,t,307,152,4.93,f,5,0
city scrape,within a few hours,88%,f,2,t,Private room in rental unit,Private room,1,,1,$450.00,1,13,1,1,13,13,1,13,,t,348,41,4.9,f,1,0
city scrape,a few days or more,0%,f,1,t,Private room in rental unit,Private room,2,,1,$700.00,1,7,1,1,7,7,1,7,,t,365,0,,f,1,0
city scrape,within an hour,82%,f,2,t,Private room in condo,Private room,1,,1,$275.00,4,1125,4,4,1125,1125,4,1125,,t,309,18,4.67,f,1,0
city scrape,within an hour,75%,t,3,t,Entire rental unit,Entire home/apt,3,2,2,"$1,200.00",2,1125,2,2,1125,1125,2,1125,,t,306,28,4.93,f,3,1
city scrape,within an hour,75%,t,3,t,Private room in rental unit,Private room,3,,1,$434.00,2,1125,2,2,1125,1125,2,1125,,t,320,10,4.8,f,3,1
city scrape,within an hour,98%,t,6,t,Entire condo,Entire home/apt,2,1,1,"$7,000.00",1,180,1,1,1125,1125,1,1125,,t,51,25,4.8,f,6,6
city scrape,within an hour,92%,f,3,t,Entire home,Entire home/apt,6,3,3,"$4,210.00",10,21,10,10,21,21,10,21,,t,173,6,5,f,3,2
previous scrape,within an hour,100%,f,1,t,Private room in home,Private room,2,,2,$700.00,2,28,2,2,1125,1125,2,1125,,t,4,145,4.87,f,1,0
city scrape,N/A,0%,f,1,t,Private room in rental unit,Private room,2,,2,$567.00,3,15,3,3,15,15,3,15,,t,88,53,4.84,f,1,0
city scrape,N/A,N/A,f,2,t,Private room in rental unit,Private room,2,,1,$361.00,3,1125,3,3,1125,1125,3,1125,,t,205,17,4.94,f,2,0
city scrape,within a few hours,N/A,f,6,t,Entire rental unit,Entire home/apt,3,1,1,$900.00,120,360,120,120,360,360,120,360,,t,174,50,4.63,f,6,6
previous scrape,N/A,0%,f,1,t,Private room in rental unit,Private room,1,,1,$430.00,1,1125,1,1,1125,1125,1,1125,,f,0,2,1,f,1,0
previous scrape,within an hour,92%,f,3,t,Private room in home,Private room,2,,1,$859.00,5,21,5,5,21,21,5,21,,t,0,21,4.78,f,3,2
city scrape,N/A,100%,f,1,t,Entire rental unit,Entire home/apt,4,2,2,"$2,379.00",6,45,6,6,45,45,6,45,,t,9,23,4.86,f,1,1
city scrape,within an hour,96%,f,1,t,Entire rental unit,Entire home/apt,2,1,1,"$1,610.00",1,1125,1,1,1125,1125,1,1125,,t,232,260,4.89,f,1,1
city scrape,within a few hours,67%,f,3,t,Private room in home,Private room,1,,1,$443.00,3,90,3,3,90,90,3,90,,t,64,2,5,f,3,0
city scrape,within an hour,82%,f,3,t,Entire rental unit,Entire home/apt,4,3,,"$1,014.00",4,1125,4,4,1125,1125,4,1125,,t,328,11,3.27,f,1,1
city scrape,within an hour,99%,f,41,t,Entire rental unit,Entire home/apt,2,1,2,$938.00,1,1125,1,1,1125,1125,1,1125,,t,353,91,4.46,f,40,37
city scrape,within an hour,92%,t,27,t,Entire rental unit,Entire home/apt,4,1,2,"$1,650.00",2,1000,2,2,1125,1125,2,1125,,t,89,153,4.85,t,26,26
city scrape,within an hour,100%,f,3,t,Entire rental unit,Entire home/apt,2,1,2,$862.00,1,365,1,1,1125,1125,1,1125,,t,266,35,4.94,f,3,2
city scrape,within an hour,85%,f,10,t,Private room in rental unit,Private room,1,,1,"$1,123.00",7,1125,7,7,1125,1125,7,1125,,t,88,0,,f,3,2
city scrape,within a day,100%,f,1,t,Entire rental unit,Entire home/apt,2,1,1,$930.00,6,1125,6,6,1125,1125,6,1125,,t,325,28,4.54,f,1,1
city scrape,within an hour,99%,t,6,t,Entire rental unit,Entire home/apt,2,1,1,"$3,243.00",1,1125,1,4,1125,1125,1.9,1125,,t,282,125,4.85,f,3,3
city scrape,within a day,83%,t,6,t,Entire rental unit,Entire home/apt,7,4,6,"$3,506.00",3,30,3,4,30,30,3,30,,t,54,25,4.92,f,6,6
city scrape,within a day,83%,t,6,t,Entire condo,Entire home/apt,6,3,5,"$5,468.00",3,21,3,4,21,21,3,21,,t,225,2,5,f,6,6
city scrape,N/A,N/A,f,2,t,Private room in rental unit,Private room,2,,1,$361.00,3,1125,3,3,1125,1125,3,1125,,t,205,26,4.88,f,2,0
city scrape,within an hour,96%,f,2,t,Entire rental unit,Entire home/apt,4,2,2,"$1,150.00",4,95,4,4,1125,1125,4,1125,,t,170,113,4.81,t,2,2
city scrape,N/A,50%,f,1,t,Entire rental unit,Entire home/apt,2,1,1,$800.00,20,150,20,20,150,150,20,150,,t,78,38,4.58,f,1,1
city scrape,within an hour,99%,t,4,t,Entire rental unit,Entire home/apt,4,2,3,"$2,035.00",2,90,2,2,1125,1125,2,1125,,t,215,307,4.92,f,2,2
city scrape,within a few hours,100%,f,1,t,Private room in rental unit,Private room,2,,1,$524.00,2,1125,2,2,1125,1125,2,1125,,t,365,1,5,t,1,0
city scrape,within a few hours,62%,f,6,t,Entire home,Entire home/apt,16,10,16,"$2,406.00",1,1125,1,1,1125,1125,1,1125,,t,284,165,4.83,f,6,3
city scrape,within an hour,100%,t,1,t,Private room in rental unit,Private room,2,,1,$669.00,3,28,2,3,1125,1125,2.7,1125,,t,148,55,4.87,f,1,0
city scrape,within a day,67%,f,1,t,Private room in rental unit,Private room,1,,1,$240.00,7,90,7,7,90,90,7,90,,t,362,27,4.96,f,1,0
city scrape,within an hour,82%,f,17,t,Room in serviced apartment,Hotel room,3,1,1,"$2,600.00",1,365,1,2,365,365,1.1,365,,t,250,1,4,t,13,4
city scrape,within an hour,100%,t,5,t,Private room in rental unit,Private room,2,,1,$600.00,5,1825,5,5,1825,1825,5,1825,,t,175,17,4.63,t,4,2
city scrape,within a few hours,68%,t,3,t,Entire loft,Entire home/apt,2,,1,$980.00,4,1125,4,4,1125,1125,4,1125,,t,204,129,4.79,f,2,2
city scrape,within an hour,100%,t,7,t,Entire rental unit,Entire home/apt,2,1,1,"$1,271.00",3,1125,3,3,1125,1125,3,1125,,t,158,326,4.92,f,4,4
city scrape,within an hour,100%,t,14,t,Entire condo,Entire home/apt,4,2,2,"$1,375.00",2,60,2,2,1125,1125,2,1125,,t,235,89,4.69,f,14,13
city scrape,within an hour,0%,f,1,t,Private room in rental unit,Private room,2,,1,$344.00,3,365,3,3,365,365,3,365,,t,87,6,4.83,f,1,0
city scrape,within an hour,75%,t,3,t,Private room in rental unit,Private room,1,,1,$350.00,2,1125,2,2,1125,1125,2,1125,,t,306,33,4.74,f,3,1
city scrape,a few days or more,0%,f,1,t,Entire rental unit,Entire home/apt,2,1,2,"$1,289.00",4,365,4,4,365,365,4,365,,t,344,24,4.67,f,1,1
city scrape,within an hour,93%,t,2,t,Entire rental unit,Entire home/apt,4,2,2,"$1,203.00",4,1125,4,4,1125,1125,4,1125,,t,343,102,4.76,f,2,2
city scrape,within an hour,96%,t,1,t,Entire condo,Entire home/apt,2,1,1,"$1,799.00",2,460,2,2,1125,1125,2,1125,,t,163,218,4.91,f,1,1
city scrape,within an hour,99%,t,17,t,Entire loft,Entire home/apt,2,1,2,$987.00,3,1125,3,3,1125,1125,3,1125,,t,55,96,4.91,f,12,12
city scrape,within an hour,100%,t,4,t,Private room in serviced apartment,Private room,2,1,2,$900.00,1,365,1,1,3,1125,1,1109.5,,t,346,218,4.97,f,2,1
city scrape,N/A,100%,f,1,t,Entire home,Entire home/apt,5,3,4,$601.00,21,365,21,21,365,365,21,365,,t,249,12,4.67,f,1,1
city scrape,within a few hours,97%,,5,t,Entire rental unit,Entire home/apt,4,2,2,"$1,029.00",3,364,3,3,1125,1125,3,1125,,t,124,243,4.8,t,2,2
previous scrape,N/A,N/A,f,2,t,Private room in condo,Private room,2,,1,$516.00,30,30,2,30,1125,1125,18,1125,,t,0,3,5,f,2,0
city scrape,within a day,83%,t,6,t,Entire condo,Entire home/apt,4,2,3,"$4,640.00",3,30,3,4,30,30,3,30,,t,225,1,5,f,6,6
city scrape,within an hour,86%,f,2,t,Entire rental unit,Entire home/apt,2,1,2,"$1,120.00",2,90,2,2,90,90,2,90,,t,83,1,5,f,2,2
city scrape,within a few hours,68%,t,3,t,Entire rental unit,Entire home/apt,4,2,3,$714.00,1,1125,3,3,1125,1125,3,1125,,t,321,58,4.93,f,2,2
city scrape,within an hour,51%,t,2,t,Private room in rental unit,Private room,2,,1,$350.00,2,1125,2,2,1125,1125,2,1125,,t,320,143,4.64,f,2,0
city scrape,within an hour,98%,t,1,t,Entire loft,Entire home/apt,3,1,2,"$1,151.00",4,1125,2,4,1125,1125,4,1125,,t,233,252,4.65,f,1,1
previous scrape,N/A,N/A,f,1,t,Private room in home,Private room,1,,2,$353.00,1,1125,1,1,1125,1125,1,1125,,f,0,3,5,f,1,0
city scrape,within an hour,99%,t,8,t,Room in boutique hotel,Private room,2,1,1,"$1,500.00",1,1125,1,1,1125,1125,1,1125,,t,365,43,4.84,f,7,1
city scrape,within an hour,99%,,7,t,Entire rental unit,Entire home/apt,2,1,1,"$1,529.00",3,1125,3,3,1125,1125,3,1125,,t,161,327,4.87,f,3,3
city scrape,within an hour,99%,t,8,t,Room in boutique hotel,Hotel room,2,1,1,"$2,100.00",1,1125,1,1,1125,1125,1,1125,,t,327,27,4.96,f,7,1
city scrape,within a few hours,100%,f,3,t,Private room in home,Private room,2,,1,$859.00,3,1125,3,3,1125,1125,3,1125,,t,337,2,5,t,3,0
previous scrape,N/A,N/A,f,1,t,Entire rental unit,Entire home/apt,2,2,2,$773.00,5,365,5,5,365,365,5,365,,t,0,23,4.82,f,1,1
city scrape,within an hour,99%,,7,t,Entire rental unit,Entire home/apt,3,1,2,"$1,414.00",3,1125,3,3,1125,1125,3,1125,,t,147,322,4.92,f,3,3
city scrape,within an hour,99%,t,3,t,Entire condo,Entire home/apt,3,1,1,$967.00,1,1125,1,1,1125,1125,1,1125,,t,300,55,4.85,t,3,3
previous scrape,N/A,0%,f,1,t,Private room in rental unit,Private room,1,,1,"$1,100.00",1,1125,1,1,1125,1125,1,1125,,f,0,0,,f,1,0
city scrape,N/A,0%,f,1,t,Entire rental unit,Entire home/apt,4,2,2,"$1,718.00",4,45,4,4,45,45,4,45,,t,275,57,4.77,f,1,1
city scrape,within a day,100%,f,1,t,Entire loft,Entire home/apt,4,,2,$603.00,3,1125,3,3,1125,1125,3,1125,,t,248,88,4.88,f,1,1
city scrape,N/A,N/A,f,2,t,Entire loft,Entire home/apt,2,1,1,"$1,598.00",2,1125,2,3,1125,1125,2,1125,,t,302,322,4.91,f,1,1
city scrape,N/A,93%,f,1,t,Entire rental unit,Entire home/apt,3,1,1,$928.00,3,1125,3,3,1125,1125,3,1125,,t,208,124,4.77,f,1,1
city scrape,within an hour,98%,t,7,t,Private room in home,Private room,6,,5,$786.00,2,365,2,2,365,365,2,365,,t,223,50,4.86,f,7,5
city scrape,within an hour,99%,t,17,t,Entire condo,Entire home/apt,2,1,1,$719.00,3,1125,1,3,1125,1125,3,1125,,t,52,37,4.89,f,12,12
city scrape,within an hour,99%,t,8,t,Private room in bed and breakfast,Private room,2,,1,"$1,900.00",1,90,1,1,1125,1125,1,1125,,t,360,35,4.97,f,7,1
city scrape,within an hour,99%,t,8,t,Room in boutique hotel,Hotel room,2,1,1,"$1,500.00",1,1125,1,1,1125,1125,1,1125,,t,338,50,4.86,f,7,1
city scrape,a few days or more,0%,f,3,t,Entire rental unit,Entire home/apt,4,2,3,"$1,031.00",14,1125,14,14,1125,1125,14,1125,,t,364,45,4.93,f,3,3
city scrape,a few days or more,0%,f,3,t,Entire loft,Entire home/apt,3,1,2,"$1,358.00",28,1125,28,28,1125,1125,28,1125,,t,359,13,4.92,f,3,3
city scrape,within a few hours,22%,f,2,t,Entire rental unit,Entire home/apt,2,2,2,"$1,117.00",30,365,30,30,365,365,30,365,,t,319,8,4.88,f,1,1
city scrape,a few days or more,0%,f,3,t,Entire loft,Entire home/apt,3,1,1,"$1,358.00",28,1125,28,28,1125,1125,28,1125,,t,360,21,4.95,f,3,3
city scrape,N/A,N/A,f,3,t,Entire guest suite,Entire home/apt,2,1,1,$830.00,3,120,3,3,120,120,3,120,,t,348,61,4.85,f,2,2
city scrape,within a few hours,86%,f,1,t,Entire rental unit,Entire home/apt,4,2,3,"$1,000.00",5,1125,5,5,1125,1125,5,1125,,t,297,96,4.82,f,1,1
city scrape,within an hour,99%,t,13,t,Entire rental unit,Entire home/apt,4,2,2,"$1,523.00",2,90,1,4,1125,1125,3.6,1125,,t,114,312,4.81,t,13,12
city scrape,within a few hours,79%,t,1,t,Entire loft,Entire home/apt,2,1,1,"$2,406.00",3,30,1,3,30,30,3,30,,t,248,87,4.86,f,1,1
city scrape,within a day,0%,f,1,t,Entire rental unit,Entire home/apt,4,2,4,$800.00,15,1125,15,15,1125,1125,15,1125,,t,234,3,5,f,1,1
city scrape,within an hour,99%,,7,t,Entire rental unit,Entire home/apt,3,1,2,"$1,636.00",3,1125,3,3,1125,1125,3,1125,,t,138,281,4.94,f,3,3
city scrape,within an hour,92%,t,27,t,Entire rental unit,Entire home/apt,4,1,2,"$1,598.00",2,1125,2,2,1125,1125,2,1125,,t,89,108,4.69,t,26,26
city scrape,within an hour,93%,t,1,t,Entire rental unit,Entire home/apt,3,1,1,$670.00,4,31,3,4,31,31,4,31,,t,31,27,4.93,f,1,1
city scrape,within an hour,51%,t,2,t,Private room in rental unit,Private room,2,,1,$450.00,2,180,2,2,180,180,2,180,,t,315,88,4.77,f,2,0
city scrape,within an hour,100%,f,6,t,Entire loft,Entire home/apt,2,1,2,$396.00,1,1125,1,1,1125,1125,1,1125,,t,0,603,4.52,t,6,4
city scrape,within an hour,95%,f,26,t,Entire loft,Entire home/apt,1,,1,$668.00,2,1125,1,2,99,99,1.5,99,,t,339,49,4.84,t,25,24
city scrape,within a day,80%,f,3,t,Shared room in loft,Shared room,1,,2,$640.00,2,365,2,2,365,365,2,365,,t,11,0,,t,3,1
city scrape,within an hour,96%,t,10,t,Entire rental unit,Entire home/apt,2,1,1,"$8,000.00",3,1125,3,3,1125,1125,3,1125,,t,332,83,4.77,f,8,8
city scrape,N/A,N/A,f,3,t,Entire guest suite,Entire home/apt,2,1,2,$950.00,3,90,3,3,90,90,3,90,,t,344,37,4.58,f,2,2
city scrape,within an hour,20%,f,4,t,Entire loft,Entire home/apt,2,1,1,$636.00,3,1125,3,3,1125,1125,3,1125,,t,326,9,4.89,f,2,2
city scrape,within an hour,100%,t,1,t,Entire rental unit,Entire home/apt,2,1,1,$786.00,3,1125,3,3,1125,1125,3,1125,,t,333,14,4.86,f,1,1
city scrape,within an hour,95%,t,3,t,Entire rental unit,Entire home/apt,6,3,4,"$2,155.00",2,180,2,2,1125,1125,2,1125,,t,78,226,4.91,f,3,3
