tiempo,Cantidad de productos,Cantidad de cajas abiertas,Trabajadores activos,Nivel de fila,Tiempo del dia,,,,,,,,,
14.43,3,one,5,six,m,,,,,,,,,
12.58,2,one,5,five,m,,,,,,,,,
1.50,1,one,5,five,m,,,,,,,,,
9.92,2,one,5,five,m,,,,,,,,,
8.52,2,one,5,five,m,,,,,,,,,
14.52,2,one,5,five,m,,,,,,,,,
13.22,2,one,6,five,m,,,,,,,,,
15.11,2,one,4,five,m,,,,,,,,,
18.50,3,one,5,five,m,,,,,,,,,
3.41,1,one,5,five,a,,,,,,,,,
10.46,2,one,5,five,a,,,,,,,,,
16.55,2,one,5,five,a,,,,,,,,,
9.25,3,one,5,five,a,,,,,,,,,
11.82,2,one,5,five,a,,,,,,,,,
13.00,2,one,6,five,a,,,,,,,,,
7.41,1,one,5,four,a,,,,,,,,,
10.26,2,one,5,six,a,,,,,,,,,
10.12,2,one,5,five,a,,,,,,,,,
12.40,1,one,5,five,a,,,,,,,,,
11.21,2,one,5,five,a,,,,,,,,,
16.58,2,one,4,five,a,,,,,,,,,
9.36,2,one,5,five,a,,,,,,,,,
9.56,2,one,5,five,a,,,,,,,,,
11.48,3,one,5,five,a,,,,,,,,,
11.07,2,one,5,five,a,,,,,,,,,
6.43,1,one,6,five,a,,,,,,,,,
16.05,2,one,5,five,a,,,,,,,,,
13.46,2,one,5,five,a,,,,,,,,,
9.52,2,one,5,five,a,,,,,,,,,
10.15,1,one,5,five,a,,,,,,,,,
10.20,2,one,5,six,a,,,,,,,,,
8.57,2,one,5,five,a,,,,,,,,,
16.24,2,one,5,five,a,,,,,,,,,
14.15,3,one,5,five,a,,,,,,,,,
5.21,1,one,5,five,a,,,,,,,,,
14.16,2,one,5,five,a,,,,,,,,,
15.23,1,one,5,five,a,,,,,,,,,
11.25,2,one,5,five,a,,,,,,,,,
10.10,1,one,5,five,a,,,,,,,,,
15.24,2,one,5,five,a,,,,,,,,,
10.45,2,one,6,five,a,,,,,,,,,
11.13,2,one,5,five,a,,,,,,,,,
11.43,3,one,5,five,a,,,,,,,,,
13.25,3,one,5,five,a,,,,,,,,,
12.14,3,one,5,five,a,,,,,,,,,
3.51,1,one,5,five,a,,,,,,,,,
11.27,3,one,5,five,a,,,,,,,,,
6.53,2,one,4,five,a,,,,,,,,,
15.08,2,one,5,five,a,,,,,,,,,
8.39,3,one,5,five,a,,,,,,,,,
6.21,1,one,5,five,a,,,,,,,,,
13.36,2,one,5,five,a,,,,,,,,,
10.45,3,one,5,five,a,,,,,,,,,
2.26,1,one,5,five,a,,,,,,,,,
9.32,3,one,5,five,a,,,,,,,,,
14.00,2,one,5,five,a,,,,,,,,,
13.08,2,one,5,five,a,,,,,,,,,
9.50,2,one,5,five,a,,,,,,,,,
14.37,1,one,5,five,a,,,,,,,,,
12.29,2,one,5,five,a,,,,,,,,,
15.52,3,one,5,five,a,,,,,,,,,
15.47,3,one,5,five,a,,,,,,,,,
19.45,4,one,5,five,a,,,,,,,,,
17.21,2,one,5,five,a,,,,,,,,,
12.09,2,one,5,five,a,,,,,,,,,
12.48,2,one,5,five,a,,,,,,,,,
10.40,1,one,5,five,a,,,,,,,,,
15.17,2,one,5,five,a,,,,,,,,,
15.12,2,one,5,five,a,,,,,,,,,
8.35,2,one,5,five,a,,,,,,,,,
13.13,3,one,5,six,a,,,,,,,,,
10.45,2,one,5,five,a,,,,,,,,,
14.04,2,one,5,five,a,,,,,,,,,
12.43,2,one,5,five,a,,,,,,,,,
4.30,1,one,5,five,a,,,,,,,,,
1.45,1,one,5,five,a,,,,,,,,,
1.51,1,one,5,five,a,,,,,,,,,
11.40,3,one,5,five,a,,,,,,,,,
10.37,3,one,5,five,a,,,,,,,,,
11.47,3,one,5,five,a,,,,,,,,,
13.15,1,one,4,five,a,,,,,,,,,
14.34,1,one,5,five,a,,,,,,,,,
19.58,2,one,5,five,a,,,,,,,,,
13.07,2,one,5,five,a,,,,,,,,,
10.33,2,one,5,five,m,,,,,,,,,
12.16,3,one,5,five,m,,,,,,,,,
11.56,2,one,5,five,m,,,,,,,,,
14.34,3,one,6,five,m,,,,,,,,,
8.58,2,one,5,five,m,,,,,,,,,
1.32,1,one,6,five,m,,,,,,,,,
2.00,1,one,5,six,m,,,,,,,,,
4.31,1,one,5,six,m,,,,,,,,,
11.41,2,one,5,five,m,,,,,,,,,
3.45,1,one,5,five,m,,,,,,,,,
8.45,3,one,5,five,m,,,,,,,,,
11.46,3,one,5,five,m,,,,,,,,,
1.45,1,one,5,five,m,,,,,,,,,
14.45,3,one,5,five,m,,,,,,,,,
6.31,1,one,5,five,m,,,,,,,,,
15.54,2,one,6,five,m,,,,,,,,,
17.48,3,one,5,five,m,,,,,,,,,
6.59,2,one,5,five,m,,,,,,,,,
10.15,1,one,5,five,m,,,,,,,,,
15.23,2,one,5,five,m,,,,,,,,,
11.29,2,one,5,five,m,,,,,,,,,
12.01,2,one,5,four,m,,,,,,,,,
12.18,2,one,5,five,m,,,,,,,,,
12.31,2,one,5,five,m,,,,,,,,,
12.27,2,one,5,five,m,,,,,,,,,
5.16,1,one,5,five,a,,,,,,,,,
16.56,2,one,5,five,a,,,,,,,,,
16.44,3,one,5,five,a,,,,,,,,,
10.56,2,one,5,five,a,,,,,,,,,
8.50,2,one,5,five,a,,,,,,,,,
14.54,3,one,5,five,a,,,,,,,,,
2.21,1,one,6,five,a,,,,,,,,,
13.53,3,one,5,five,a,,,,,,,,,
12.24,2,one,5,five,a,,,,,,,,,
15.27,2,one,5,five,a,,,,,,,,,
15.28,2,one,5,five,a,,,,,,,,,
11.02,3,one,5,five,a,,,,,,,,,
9.05,2,one,5,five,a,,,,,,,,,
8.45,2,one,4,five,a,,,,,,,,,
15.03,3,one,5,five,a,,,,,,,,,
7.45,1,one,5,five,a,,,,,,,,,
11.28,2,one,5,five,a,,,,,,,,,
11.41,1,one,5,five,a,,,,,,,,,
13.04,2,one,5,five,n,,,,,,,,,
7.39,3,one,5,five,n,,,,,,,,,
13.45,2,one,5,five,n,,,,,,,,,
14.56,2,one,5,five,n,,,,,,,,,
1.32,1,one,5,five,n,,,,,,,,,
12.27,2,one,5,five,n,,,,,,,,,
13.49,2,one,5,five,n,,,,,,,,,
14.40,2,one,5,five,n,,,,,,,,,
4.58,2,one,5,five,n,,,,,,,,,
19.07,2,one,5,five,n,,,,,,,,,
14.37,2,one,5,five,n,,,,,,,,,
11.24,2,one,5,five,n,,,,,,,,,
5.31,1,one,5,five,n,,,,,,,,,
14.56,2,one,5,five,n,,,,,,,,,
12.34,2,one,5,five,n,,,,,,,,,
7.11,2,one,5,five,n,,,,,,,,,
19.39,2,one,5,five,n,,,,,,,,,
12.34,2,one,5,five,n,,,,,,,,,
16.26,3,one,5,five,n,,,,,,,,,
11.12,2,one,5,five,n,,,,,,,,,
17.51,3,one,5,five,n,,,,,,,,,
10.00,1,one,5,five,n,,,,,,,,,
15.03,2,one,5,five,n,,,,,,,,,
10.06,1,one,5,six,n,,,,,,,,,
16.53,2,one,4,five,n,,,,,,,,,
15.27,2,one,5,five,n,,,,,,,,,
17.11,2,one,5,five,n,,,,,,,,,
11.32,2,one,5,five,n,,,,,,,,,
11.23,2,one,5,five,n,,,,,,,,,
12.30,2,one,5,six,n,,,,,,,,,
3.50,1,one,5,five,n,,,,,,,,,
12.23,3,one,5,five,n,,,,,,,,,
16.45,3,one,5,five,n,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
